Gene	"Gene synonym"	"Gene description"
INSRR	IRR	"Insulin receptor related receptor"
INSYN2A	"C10orf141, FAM196A, FLJ45557, INSYN2"	"Inhibitory synaptic factor 2A"
ISLR2	KIAA1465	"Immunoglobulin superfamily containing leucine rich repeat 2"
ITPRID1	"CCDC129, FLJ38344"	"ITPR interacting domain containing 1"
KANTR	"LINC01155, Spasm"	"KDM5C adjacent transcript"
KCNC2	Kv3.2	"Potassium voltage-gated channel subfamily C member 2"
KCNG2	"KCNF2, Kv6.2"	"Potassium voltage-gated channel modifier subfamily G member 2"
KCNH7	"erg3, HERG3, Kv11.3"	"Potassium voltage-gated channel subfamily H member 7"
KCNJ10	"Kir1.2, Kir4.1"	"Potassium inwardly rectifying channel subfamily J member 10"
KCNK9	"K2p9.1, TASK-3, TASK3"	"Potassium two pore domain channel subfamily K member 9"
KCNQ2	"BFNC, EBN, EBN1, ENB1, HNSPC, KCNA11, Kv7.2"	"Potassium voltage-gated channel subfamily Q member 2"
KCTD16	KIAA1317	"Potassium channel tetramerization domain containing 16"
KCTD4	bA321C24.3	"Potassium channel tetramerization domain containing 4"
KIAA0319	NMIG	KIAA0319
KIF1A	"ATSV, C2orf20, SPG30, UNC104"	"Kinesin family member 1A"
KIF1B	"CMT2, CMT2A, HMSNII, KIAA0591, KLP"	"Kinesin family member 1B"
KIF5C		"Kinesin family member 5C"
KSR2	FLJ25965	"Kinase suppressor of ras 2"
LHFPL1		"LHFPL tetraspan subfamily member 1"
LINGO3	"LERN2, LRRN6B"	"Leucine rich repeat and Ig domain containing 3"
LIX1	"C5orf11, Lft"	"Limb and CNS expressed 1"
LRFN2	"FIGLER2, KIAA1246, SALM1"	"Leucine rich repeat and fibronectin type III domain containing 2"
LRP4	"CLSS, LRP-4, MEGF7, SOST2"	"LDL receptor related protein 4"
LRRC43	MGC35140	"Leucine rich repeat containing 43"
LRRC53		"Leucine rich repeat containing 53"
LRRC9	FLJ46156	"Leucine rich repeat containing 9"
LRRTM1	FLJ32082	"Leucine rich repeat transmembrane neuronal 1"
LUZP2		"Leucine zipper protein 2"
LZTS1	FEZ1	"Leucine zipper tumor suppressor 1"
MAGEC3	"CT7.2, HCA2, MAGE-C3"	"MAGE family member C3"
MAGED4	"KIAA1859, MAGE-E1, MAGE1, MGC3210"	"MAGE family member D4"
MAP4K4	"FLH21957, HGK, NIK"	"Mitogen-activated protein kinase kinase kinase kinase 4"
MAST1	"KIAA0973, SAST"	"Microtubule associated serine/threonine kinase 1"
MMP24	MT5-MMP	"Matrix metallopeptidase 24"
MSANTD3-TMEFF1	C9orf30-TMEFF1	"MSANTD3-TMEFF1 readthrough"
MTCL1	"CCDC165, KIAA0802, SOGA2"	"Microtubule crosslinking factor 1"
MYT1L	"KIAA1106, NZF1, ZC2H2C2, ZC2HC4B"	"Myelin transcription factor 1 like"
NANOGP8		"Nanog homeobox retrogene P8"
NBEA	"BCL8B, FLJ10197, KIAA1544, LYST2"	Neurobeachin
NBPF20		"NBPF member 20"
NCKAP5	"ERIH1, ERIH2, NAP5"	"NCK associated protein 5"
NDST3	HSST3	"N-deacetylase and N-sulfotransferase 3"
NECAB1	EFCBP1	"N-terminal EF-hand calcium binding protein 1"
NEK5		"NIMA related kinase 5"
NHLH2	"bHLHa34, HEN2, NSCL2"	"Nescient helix-loop-helix 2"
NKAIN1	"FAM77C, FLJ12650"	"Sodium/potassium transporting ATPase interacting 1"
NKX2-2	"NKX2.2, NKX2B"	"NK2 homeobox 2"
NPB	"PPL7, PPNPB"	"Neuropeptide B"
NPTX1		"Neuronal pentraxin 1"
NPY2R		"Neuropeptide Y receptor Y2"
NSG2	"CALY3, HMP19"	"Neuronal vesicle trafficking associated 2"
NSMF	NELF	"NMDA receptor synaptonuclear signaling and neuronal migration factor"
NTRK1	"MTC, TRK, TRKA"	"Neurotrophic receptor tyrosine kinase 1"
OLFM1	"AMY, NOE1, NOELIN, OlfA"	"Olfactomedin 1"
OLIG1	"BHLHB6, bHLHe21"	"Oligodendrocyte transcription factor 1"
OPRD1		"Opioid receptor delta 1"
OR52I1		"Olfactory receptor family 52 subfamily I member 1"
OTUD7A	"C15orf16, CEZANNE2, OTUD7"	"OTU deubiquitinase 7A"
P2RX6	"MGC129625, P2RXL1, P2X6, P2XM"	"Purinergic receptor P2X 6"
PANX2	"hPANX2, PX2"	"Pannexin 2"
PCDH11Y	"PCDH22, PCDHY"	"Protocadherin 11 Y-linked"
PCDHA13	"CNR5, CNRN5, CNRS5, CRNR5, PCDH-ALPHA13"	"Protocadherin alpha 13"
PCDHGC4	PCDH-GAMMA-C4	"Protocadherin gamma subfamily C, 4"
PCDHGC5	PCDH-GAMMA-C5	"Protocadherin gamma subfamily C, 5"
PEG3	"KIAA0287, ZKSCAN22, ZNF904, ZSCAN24"	"Paternally expressed 3"
PHF24	KIAA1045	"PHD finger protein 24"
PHOX2B	"NBPhox, PMX2B"	"Paired like homeobox 2B"
PLXNB3	"PLEXB3, PLEXR, PLXN6"	"Plexin B3"
PNLDC1	"dJ195P10.2, FLJ40240"	"PARN like, ribonuclease domain containing 1"
POTEE	"A26C1, A26C1A, CT104.2, POTE-2, POTE2, POTE2gamma"	"POTE ankyrin domain family member E"
PPM1E	"CaMKP-N, KIAA1072, POPX1, PP2CH"	"Protein phosphatase, Mg2+/Mn2+ dependent 1E"
PPP1R1B	"DARPP-32, FLJ20940"	"Protein phosphatase 1 regulatory inhibitor subunit 1B"
PRKAR1B		"Protein kinase cAMP-dependent type I regulatory subunit beta"
PRR36		"Proline rich 36"
PRRT1	"C6orf31, DSPD1, IFITMD7, NG5"	"Proline rich transmembrane protein 1"
PSD2	"DKFZp761B0514, EFA6C"	"Pleckstrin and Sec7 domain containing 2"
RAB3A		"RAB3A, member RAS oncogene family"
RAB6B		"RAB6B, member RAS oncogene family"
RASL10A	RRP22	"RAS like family 10 member A"
RELN	"PRO1598, RL"	Reelin
RET	"CDHF12, CDHR16, HSCR1, MEN2A, MEN2B, MTC1, PTC, RET51"	"Ret proto-oncogene"
RIT2	"RIBA, RIN"	"Ras like without CAAX 2"
RNF220	"C1orf164, FLJ10597"	"Ring finger protein 220"
RTP1	"MGC35450, Z3CXXC1"	"Receptor transporter protein 1"
SATB2	"FLJ21474, KIAA1034"	"SATB homeobox 2"
SCN3A	Nav1.3	"Sodium voltage-gated channel alpha subunit 3"
SDR42E2		"Short chain dehydrogenase/reductase family 42E, member 2"
SEPTIN4	"ARTS, C17orf47, CE5B3, FLJ40121, H5, hCDCREL-2, hucep-7, MART, PNUTL2, SEPT4"	"Septin 4"
SGCZ	ZSG1	"Sarcoglycan zeta"
SH3TC2	"CMT4C, KIAA1985"	"SH3 domain and tetratricopeptide repeats 2"
SHISA7		"Shisa family member 7"
SKOR1	"CORL1, FUSSEL15, LBXCOR1"	"SKI family transcriptional corepressor 1"
SLC10A4	MGC29802	"Solute carrier family 10 member 4"
SLC16A8	"MCT3, REMP"	"Solute carrier family 16 member 8"
SLC17A6	"DNPI, VGLUT2"	"Solute carrier family 17 member 6"
SLC30A3	ZNT3	"Solute carrier family 30 member 3"
SLC32A1	"bA122O1.1, VGAT, VIAAT"	"Solute carrier family 32 member 1"
SLC35F3	FLJ37712	"Solute carrier family 35 member F3"
SLC38A8		"Solute carrier family 38 member 8"
SLC4A8	NBC3	"Solute carrier family 4 member 8"
SLC5A11	"KST1, SGLT6, SMIT2"	"Solute carrier family 5 member 11"
SLC8A2	"KIAA1087, NCX2"	"Solute carrier family 8 member A2"
SNAP91	"AP180, CALM, KIAA0656"	"Synaptosome associated protein 91"
SOX11		"SRY-box transcription factor 11"
SOX21	SOX25	"SRY-box transcription factor 21"
SOX8		"SRY-box transcription factor 8"
SPAG8	"BS-84, CT142, HSD-1, hSMP-1, SPAG3"	"Sperm associated antigen 8"
SRRM3	FLJ37078	"Serine/arginine repetitive matrix 3"
STMN4	RB3	"Stathmin 4"
STON2	"STN2, STNB2"	"Stonin 2"
STRC	DFNB16	Stereocilin
STXBP1	"hUNC18, MUNC18-1, rbSec1, UNC18"	"Syntaxin binding protein 1"
SYT10		"Synaptotagmin 10"
SYT12	SRG1	"Synaptotagmin 12"
TAC1	"NKNA, NPK, TAC2"	"Tachykinin precursor 1"
TCEAL5	WEX4	"Transcription elongation factor A like 5"
TENM2	"KIAA1127, ODZ2, Ten-M2, TEN2"	"Teneurin transmembrane protein 2"
TESPA1	"ITPRID3, KIAA0748"	"Thymocyte expressed, positive selection associated 1"
TIAM1		"TIAM Rac1 associated GEF 1"
TMEM132A	"FLJ20539, GBP, HSPA5BP1"	"Transmembrane protein 132A"
TMEM132E	DFNB99	"Transmembrane protein 132E"
TMEM179	"C14orf90, FLJ42486, TMEM179A"	"Transmembrane protein 179"
TMEM272	"FLJ37307, LINC00282, NCRNA00282"	"Transmembrane protein 272"
TMTC2	DKFZp762A217	"Transmembrane O-mannosyltransferase targeting cadherins 2"
TRAJ22		"T cell receptor alpha joining 22"
TRAJ50		"T cell receptor alpha joining 50"
TRAJ58		"T cell receptor alpha joining 58 (non-functional)"
TRGJP2	"JP2, TCRGJP2"	"T cell receptor gamma joining P2"
TRPC5	PPP1R159	"Transient receptor potential cation channel subfamily C member 5"
TTBK1	KIAA1855	"Tau tubulin kinase 1"
TTLL9	"C20orf125, dJ310O13.1"	"Tubulin tyrosine ligase like 9"
TULP4	"KIAA1397, TUSP"	"TUB like protein 4"
TUNAR	"HI-LNC78, LINC00617, TUNA"	"TCL1 upstream neural differentiation-associated RNA"
UBAP1L		"Ubiquitin associated protein 1 like"
UBE2QL1	FLJ25076	"Ubiquitin conjugating enzyme E2 Q family like 1"
UCHL1	"PARK5, PGP9.5, Uch-L1"	"Ubiquitin C-terminal hydrolase L1"
UNC13C	"DKFZp547H074, Munc13-3"	"Unc-13 homolog C"
UNC80	"C2orf21, FLJ33496, KIAA1843, UNC-80"	"Unc-80 homolog, NALCN channel complex subunit"
VAX2	DRES93	"Ventral anterior homeobox 2"
VHLL	"VHLP, VLP"	"VHL like"
VWC2	"PSST739, UNQ739"	"Von Willebrand factor C domain containing 2"
WDR49	FLJ33620	"WD repeat domain 49"
WDR74	"FLJ10439, Nsa1"	"WD repeat domain 74"
XKR4	KIAA1889	"XK related 4"
ZAR1	Z3CXXC6	"Zygote arrest 1"
ZCCHC12	"FLJ16123, PNMA7A, SIZN, SIZN1"	"Zinc finger CCHC-type containing 12"
ZFYVE28	"KIAA1643, lst-2"	"Zinc finger FYVE-type containing 28"
ZNF474	"4933409D10Rik, FLJ32921"	"Zinc finger protein 474"
ZNF536	KIAA0390	"Zinc finger protein 536"
AC020765.6		"Novel protein"
AC092073.1		"Novel protein, readthrough between GPI and PDCD2"
ACTL6B	"ACTL6, BAF53B"	"Actin like 6B"
ADCY1	"AC1, DFNB44"	"Adenylate cyclase 1"
AGAP1	"CENTG2, GGAP1, KIAA1099"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
AGPAT4	"dJ473J16.2, LPAAT-delta"	"1-acylglycerol-3-phosphate O-acyltransferase 4"
AIFM3	"AIFL, FLJ30473"	"Apoptosis inducing factor mitochondria associated 3"
AIRE	"APECED, APS1, PGA1"	"Autoimmune regulator"
AL031178.1		"Novel protein"
AL672142.1		"Novel protein"
AMER2	"FAM123A, FLJ25477"	"APC membrane recruitment protein 2"
ANKLE1	"ANKRD41, FLJ39369, LEMD6"	"Ankyrin repeat and LEM domain containing 1"
ANKRD45	"CT117, FLJ45235"	"Ankyrin repeat domain 45"
AQP4	MIWC	"Aquaporin 4"
ARNT2	"bHLHe1, KIAA0307"	"Aryl hydrocarbon receptor nuclear translocator 2"
ASIC2	"ACCN, ACCN1, ASIC2a, BNaC1, BNC1, hBNaC1, MDEG"	"Acid sensing ion channel subunit 2"
ASPHD1		"Aspartate beta-hydroxylase domain containing 1"
ASTL	"ovastacin, SAS1B"	"Astacin like metalloendopeptidase"
ATCAY	BNIP-H	"ATCAY kinesin light chain interacting caytaxin"
ATG4C	"APG4C, AUTL1, AUTL3, FLJ14867"	"Autophagy related 4C cysteine peptidase"
BACE1	BACE	"Beta-secretase 1"
BASP1	"CAP-23, CAP23, NAP-22, NAP22"	"Brain abundant membrane attached signal protein 1"
BCAN	"BEHAB, CSPG7, MGC13038"	Brevican
BRSK2	"C11orf7, PEN11B, STK29"	"BR serine/threonine kinase 2"
C2orf80	"GONDA1, LOC389073"	"Chromosome 2 open reading frame 80"
C3orf80		"Chromosome 3 open reading frame 80"
C5orf49	LOC134121	"Chromosome 5 open reading frame 49"
CA11	"CARP2, CARPX1"	"Carbonic anhydrase 11"
CABP1		"Calcium binding protein 1"
CACNG4	"MGC11138, MGC24983"	"Calcium voltage-gated channel auxiliary subunit gamma 4"
CAMK1G	"CLICKIII, dJ272L16.1, VWS1"	"Calcium/calmodulin dependent protein kinase IG"
CAMK2N2	CaM-KIIN	"Calcium/calmodulin dependent protein kinase II inhibitor 2"
CARMIL3	"BC008134, C14orf121, crml-1, LRRC16B"	"Capping protein regulator and myosin 1 linker 3"
CCDC13	FLJ25467	"Coiled-coil domain containing 13"
CCDC190	"C1orf110, MGC48998"	"Coiled-coil domain containing 190"
CD300LB	"CLM7, TREM5"	"CD300 molecule like family member b"
CDH7		"Cadherin 7"
CDH8		"Cadherin 8"
CDK5R1	"Nck5a, p35, p35nck5a"	"Cyclin dependent kinase 5 regulatory subunit 1"
CELF4	BRUNOL4	"CUGBP Elav-like family member 4"
CELSR3	"ADGRC3, CDHF11, EGFL1, FMI1, HFMI1, MEGF2"	"Cadherin EGF LAG seven-pass G-type receptor 3"
CFAP73	"CCDC42B, MIA2"	"Cilia and flagella associated protein 73"
CHRNB3		"Cholinergic receptor nicotinic beta 3 subunit"
CLSTN2	"CDHR13, CS2, CSTN2, FLJ39113"	"Calsyntenin 2"
CNKSR2	"CNK2, KIAA0902, KSR2"	"Connector enhancer of kinase suppressor of Ras 2"
CNTNAP2	"Caspr2, KIAA0868, NRXN4"	"Contactin associated protein 2"
CNTNAP5	"caspr5, FLJ31966"	"Contactin associated protein family member 5"
COL20A1	KIAA1510	"Collagen type XX alpha 1 chain"
COLGALT2	"C1orf17, GLT25D2, KIAA0584"	"Collagen beta(1-O)galactosyltransferase 2"
CRTAM	CD355	"Cytotoxic and regulatory T cell molecule"
CSMD1	"KIAA1890, PPP1R24"	"CUB and Sushi multiple domains 1"
DCSTAMP	"DC-STAMP, FIND, TM7SF4"	"Dendrocyte expressed seven transmembrane protein"
DGKI	DGK-IOTA	"Diacylglycerol kinase iota"
DIRAS3	"ARHI, NOEY2"	"DIRAS family GTPase 3"
DLG4	"PSD-95, PSD95, SAP-90, SAP90"	"Discs large MAGUK scaffold protein 4"
DMRTA2		"DMRT like family A2"
EMX1		"Empty spiracles homeobox 1"
EPHA6	FLJ35246	"EPH receptor A6"
ERC2	"CAST, CAST1, ELKSL, KIAA0378, SPBC110, Spc110"	"ELKS/RAB6-interacting/CAST family member 2"
FAM124A	FLJ30707	"Family with sequence similarity 124 member A"
FAM153A	NY-REN-7	"Family with sequence similarity 153 member A"
FAM153B		"Family with sequence similarity 153 member B"
FAM216A	"C12orf24, HSU79274"	"Family with sequence similarity 216 member A"
FAM43B	FLJ44952	"Family with sequence similarity 43 member B"
FBLL1	LOC345630	"Fibrillarin like 1"
FBXO2	"Fbg1, Fbs1, FBX2, Nfb42, OCP1"	"F-box protein 2"
FFAR1	"FFA1R, GPR40"	"Free fatty acid receptor 1"
FKBP4	"FKBP52, FKBP59"	"FKBP prolyl isomerase 4"
FO393400.1		"Novel protein"
FOXD4L4	"bA460E7.2, FOXD4L2"	"Forkhead box D4 like 4"
FRMD5	MGC14161	"FERM domain containing 5"
FUT9	Fuc-TIX	"Fucosyltransferase 9"
GDAP1L1		"Ganglioside induced differentiation associated protein 1 like 1"
GPR61	BALGR	"G protein-coupled receptor 61"
H1-3	"H1.3, H1d, H1F3, H1s-2, HIST1H1D"	"H1.3 linker histone, cluster member"
H2AC20	"H2A, H2A/q, H2AFQ, HIST2H2AC"	"H2A clustered histone 20"
H2AC21	HIST2H2AB	"H2A clustered histone 21"
HMX1	"H6, NKX5-3"	"H6 family homeobox 1"
HTR3B	5-HT3B	"5-hydroxytryptamine receptor 3B"
HTR7	5-HT7	"5-hydroxytryptamine receptor 7"
IFITM10	DSPA3	"Interferon induced transmembrane protein 10"
IL17D	"FLJ30846, IL-17D, IL-27, IL27"	"Interleukin 17D"
IQCN	KIAA1683	"IQ motif containing N"
IQSEC3	"KIAA1110, MGC30156"	"IQ motif and Sec7 domain ArfGEF 3"
ITGAX	CD11C	"Integrin subunit alpha X"
JPH3	"CAGL237, HDL2, JP-3, JP3, TNRC22"	"Junctophilin 3"
KCNJ2	"IRK1, Kir2.1, LQT7"	"Potassium inwardly rectifying channel subfamily J member 2"
KCNN3	"hSK3, KCa2.3, SKCA3"	"Potassium calcium-activated channel subfamily N member 3"
KCNQ5	Kv7.5	"Potassium voltage-gated channel subfamily Q member 5"
KCTD8		"Potassium channel tetramerization domain containing 8"
KHDC1L	RP11-257K9.7	"KH domain containing 1 like"
KIF19	"FLJ37300, KIF19A"	"Kinesin family member 19"
KIF1C	"SAX2, SPAX2, SPG58"	"Kinesin family member 1C"
KIF3C		"Kinesin family member 3C"
KLHL35	FLJ33790	"Kelch like family member 35"
L1TD1	"ECAT11, FLJ10884"	"LINE1 type transposase domain containing 1"
LBHD2		"LBH domain containing 2"
LHX5		"LIM homeobox 5"
LMNTD1	"FLJ36004, IFLTD1, Pas1c1"	"Lamin tail domain containing 1"
LPAR1	"edg-2, EDG2, Gpcr26, GPR26, LPA1, Mrec1.3, rec.1.3, vzg-1"	"Lysophosphatidic acid receptor 1"
LRRIQ1	"FLJ12303, KIAA1801"	"Leucine rich repeats and IQ motif containing 1"
LRRTM2	KIAA0416	"Leucine rich repeat transmembrane neuronal 2"
LYPD1	"LYPDC1, MGC29643"	"LY6/PLAUR domain containing 1"
MARCHF4	"KIAA1399, MARCH-IV, MARCH4, RNF174"	"Membrane associated ring-CH-type finger 4"
MATN1	"CMP, CRTM"	"Matrilin 1"
MEIKIN		"Meiotic kinetochore factor"
MMD	"MMA, PAQR11"	"Monocyte to macrophage differentiation associated"
MN1	"MGCR, MGCR1, MGCR1-PEN"	"MN1 proto-oncogene, transcriptional regulator"
MTNR1B		"Melatonin receptor 1B"
MTRNR2L6		"MT-RNR2 like 6"
MTRNR2L7		"MT-RNR2 like 7"
MYRF	"C11orf9, MRF, Ndt80, pqn-47"	"Myelin regulatory factor"
NECAB2	EFCBP2	"N-terminal EF-hand calcium binding protein 2"
NEUROG2	"Atoh4, bHLHa8, Math4A, ngn-2, NGN2"	"Neurogenin 2"
NMUR2	NMU2R	"Neuromedin U receptor 2"
NOL4	"CT125, HRIHFB2255, NOLP"	"Nucleolar protein 4"
NPTX2		"Neuronal pentraxin 2"
ODAPH	"AI2A4, C4orf26, FLJ23657"	"Odontogenesis associated phosphoprotein"
OLIG2	"BHLHB1, bHLHe19, OLIGO2, PRKCBP2, RACK17"	"Oligodendrocyte transcription factor 2"
OMG	OMGP	"Oligodendrocyte myelin glycoprotein"
OR1A1	OR17-7	"Olfactory receptor family 1 subfamily A member 1"
OR1F1	"Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OR1F10, OR1F13P, OR1F4, OR1F5, OR1F6, OR1F7, OR1F8, OR1F9, OR3-145"	"Olfactory receptor family 1 subfamily F member 1"
PABPC1L2B	RBM32B	"Poly(A) binding protein cytoplasmic 1 like 2B"
PAK3	"bPAK, hPAK3, MRX30, MRX47"	"P21 (RAC1) activated kinase 3"
PAK5	"KIAA1264, PAK7"	"P21 (RAC1) activated kinase 5"
PCDH10	"KIAA1400, OL-PCDH"	"Protocadherin 10"
PCDH15	"CDHR15, DFNB23, USH1F"	"Protocadherin related 15"
PCLO	"ACZ, DKFZp779G1236, KIAA0559"	"Piccolo presynaptic cytomatrix protein"
PCP2	"GPSM4, MGC41903"	"Purkinje cell protein 2"
PCSK6	"PACE4, SPC4"	"Proprotein convertase subtilisin/kexin type 6"
PIANP	"C12orf53, DKFZp547D2210, PANP"	"PILR alpha associated neural protein"
PLEKHH1	KIAA1200	"Pleckstrin homology, MyTH4 and FERM domain containing H1"
PLPPR3	"FLJ11535, LPPR3, PRG-2, PRG2"	"Phospholipid phosphatase related 3"
PPEF1	"PPEF, PPP7CA"	"Protein phosphatase with EF-hand domain 1"
PPP1R17	"C7orf16, GSBS"	"Protein phosphatase 1 regulatory subunit 17"
PRRT3	FLJ33674	"Proline rich transmembrane protein 3"
PSRC1	DDA3	"Proline and serine rich coiled-coil 1"
PTX4	C16orf38	"Pentraxin 4"
PXK	"FLJ20335, Slob"	"PX domain containing serine/threonine kinase like"
QRFPR	GPR103	"Pyroglutamylated RFamide peptide receptor"
RAPGEF5	"GFR, KIAA0277, MR-GEF"	"Rap guanine nucleotide exchange factor 5"
RASGEF1C	FLJ35841	"RasGEF domain family member 1C"
RGS4	SCZD9	"Regulator of G protein signaling 4"
RHBDL3	"RHBDL4, VRHO"	"Rhomboid like 3"
RIMKLA	"FAM80A, MGC47816, NAAGS-II, RP11-157D18.1"	"Ribosomal modification protein rimK like family member A"
RIMS2	"KIAA0751, OBOE, RAB3IP3, RIM2"	"Regulating synaptic membrane exocytosis 2"
RNF157	KIAA1917	"Ring finger protein 157"
RPH3A	"exophilin-1, KIAA0985, rabphilin"	"Rabphilin 3A"
SCG3	"FLJ90833, SgIII"	"Secretogranin III"
SCN8A	"CerIII, CIAT, MED, NaCh6, Nav1.6, PN4"	"Sodium voltage-gated channel alpha subunit 8"
SCN9A	"ETHA, Nav1.7, NE-NA, NENA, PN1"	"Sodium voltage-gated channel alpha subunit 9"
SH2D5		"SH2 domain containing 5"
SH3GL3	"CNSA3, EEN-B2, HsT19371, SH3D2C, SH3P13"	"SH3 domain containing GRB2 like 3, endophilin A3"
SHISA6	FLJ45455	"Shisa family member 6"
SLC6A12	BGT-1	"Solute carrier family 6 member 12"
SLC6A17		"Solute carrier family 6 member 17"
SLC7A14	"KIAA1613, PPP1R142"	"Solute carrier family 7 member 14"
SLC9A7	NHE7	"Solute carrier family 9 member A7"
SLITRK1	"KIAA1910, LRRC12"	"SLIT and NTRK like family member 1"
SMIM10L2A	"LED, LINC00086, LINC0086, MGC39606, NCRNA00086"	"Small integral membrane protein 10 like 2A"
SMIM39		"Small integral membrane protein 39"
SNORC	"ASCL830, C2orf82, UNQ830"	"Secondary ossification center associated regulator of chondrocyte maturation"
SOGA1	"C20orf117, dJ132F21.1, FLJ44670, KIAA0889, SOGA"	"Suppressor of glucose, autophagy associated 1"
SPEF1	"C20orf28, CLAMP, DKFZP434I114, SPEF1A"	"Sperm flagellar 1"
SPTBN4	"KIAA1642, SPTBN3"	"Spectrin beta, non-erythrocytic 4"
SRCIN1	"KIAA1684, p140Cap, SNIP"	"SRC kinase signaling inhibitor 1"
SYT16	"CHR14SYT, Strep14, SYT14L, yt14r"	"Synaptotagmin 16"
SYT6		"Synaptotagmin 6"
TAFA1	"FAM19A1, TAFA-1"	"TAFA chemokine like family member 1"
TAFA2	"FAM19A2, TAFA-2"	"TAFA chemokine like family member 2"
TAFA5	"FAM19A5, TAFA-5"	"TAFA chemokine like family member 5"
TLL1		"Tolloid like 1"
TMCC2	"FLJ38497, HUCEP11"	"Transmembrane and coiled-coil domain family 2"
TMEM130	"DKFZp761L1417, FLJ42643"	"Transmembrane protein 130"
TMEM196	MGC42090	"Transmembrane protein 196"
TMEM266	"C15orf27, FLJ38190"	"Transmembrane protein 266"
TMEM63A	KIAA0792	"Transmembrane protein 63A"
TMOD2	NTMOD	"Tropomodulin 2"
TPBGL		"Trophoblast glycoprotein like"
TRAJ21		"T cell receptor alpha joining 21"
TRAJ56		"T cell receptor alpha joining 56"
TRAJ57		"T cell receptor alpha joining 57"
TRBV6-7	"TCRBV13S8P, TCRBV6S7, TRBV67"	"T cell receptor beta variable 6-7 (non-functional)"
TRPM6	"CHAK2, FLJ22628, HOMG, HSH"	"Transient receptor potential cation channel subfamily M member 6"
TRPV5	"CaT2, ECAC1"	"Transient receptor potential cation channel subfamily V member 5"
TSC22D4	"THG-1, TILZ2"	"TSC22 domain family member 4"
TUBB2B	"bA506K6.1, DKFZp566F223, MGC8685"	"Tubulin beta 2B class IIb"
TUBB4A	"beta-5, DYT4, TUBB4"	"Tubulin beta 4A class IVa"
USP44	FLJ14528	"Ubiquitin specific peptidase 44"
WNT1	INT1	"Wnt family member 1"
WNT10B	"SHFM6, WNT-12"	"Wnt family member 10B"
ZBTB20	"DKFZp566F123, DPZF, ODA-8S, ZNF288"	"Zinc finger and BTB domain containing 20"
ZNF124	"HZF-16, HZF16"	"Zinc finger protein 124"
ZNF385D	"FLJ22419, ZNF659"	"Zinc finger protein 385D"
ZNF556	FLJ11637	"Zinc finger protein 556"
ZNF883		"Zinc finger protein 883"
ZSCAN10	ZNF206	"Zinc finger and SCAN domain containing 10"
ABAT	"GABA-T, GABAT"	"4-aminobutyrate aminotransferase"
ABCB9	EST122234	"ATP binding cassette subfamily B member 9"
ABCD2	"ALDL1, ALDR, ALDRP"	"ATP binding cassette subfamily D member 2"
ABHD8	"FLJ11743, MGC14280, MGC2512"	"Abhydrolase domain containing 8"
ABTB2	"ABTB2A, BTBD22, DKFZP586C1619"	"Ankyrin repeat and BTB domain containing 2"
AC000120.2		"Novel protein"
AC001226.2		"Novel protein"
AC002996.1		"Novel protein"
AC004076.1		"Novel transcript"
AC004593.2		"Chimerin 2"
AC007040.2		"Novel protein"
AC008676.3		"Novel protein"
AC008758.1		"Novel zinc finger protein"
AC008878.1		"Novel transcript"
AC008982.1		"Novel protein"
AC009163.5		"Novel TMEM170A-CFDP1 readthrough protein"
AC011448.1		"Novel protein"
AC012309.1		"Novel protein"
AC013477.1		"Novel protein"
AC020907.6		"Novel protein"
AC055839.2		"Uncharacterized LOC728392"
AC063943.2		"Novel protein"
AC064824.1		"Novel protein, SRD5A3-RP11-177J6.1 readthrough"
AC068775.1		"Novel protein"
AC069368.1		"Novel protein"
AC092718.7		"Novel protein"
AC093525.1		"Novel protein"
AC097636.1		"Novel protein"
AC099850.2		"Novel protein"
AC104109.3		"Novel protein"
AC117378.1		"Novel protein"
AC119676.1		"Novel protein"
AC129492.3		"Novel protein"
AC131160.1		"Presenilin associated rhomboid like"
AC134669.1		"Novel protein"
AC242628.1		"Novel protein"
ACAN	"AGC1, CSPG1, CSPGCP, MSK16"	Aggrecan
ACBD7	"bA455B2.2, FLJ38219"	"Acyl-CoA binding domain containing 7"
ACOT6	C14orf42	"Acyl-CoA thioesterase 6"
ACOT7	"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126"	"Acyl-CoA thioesterase 7"
ACSL6	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	"Acyl-CoA synthetase long chain family member 6"
ACVR1C	"ACVRLK7, ALK7"	"Activin A receptor type 1C"
ADAM23	MDC3	"ADAM metallopeptidase domain 23"
ADAMTS14		"ADAM metallopeptidase with thrombospondin type 1 motif 14"
ADAMTS16	ADAMTS16s	"ADAM metallopeptidase with thrombospondin type 1 motif 16"
ADAP1	"CENTA1, GCS1L"	"ArfGAP with dual PH domains 1"
ADCY5	AC5	"Adenylate cyclase 5"
ADCYAP1	PACAP	"Adenylate cyclase activating polypeptide 1"
ADD2	ADDB	"Adducin 2"
ADGB	"C6orf103, CAPN16, dJ408K24.1, FLJ23121"	Androglobin
ADGRD2	"GPR144, PGR24"	"Adhesion G protein-coupled receptor D2"
ADGRL3	"KIAA0768, LEC3, LPHN3"	"Adhesion G protein-coupled receptor L3"
ADORA1	RDC7	"Adenosine A1 receptor"
